postcode,lat,lon
AL100PD,51.76845,-0.22550
AL100PS,51.76939,-0.22713
AL108AB,51.76021,-0.22053
AL108AX,51.76184,-0.14978
AL108ES,51.76000,-0.22975
AL108NL,51.75885,-0.22631
AL108NN,51.75816,-0.22543
AL108NW,51.75633,-0.22386
AL108TJ,51.75033,-0.22602
AL108TQ,51.74879,-0.22782
AL109AH,51.76727,-0.24657
AL109JY,51.77526,-0.23365
AL11DQ,51.74741,-0.34234
AL11HL,51.74675,-0.33538
AL12LE,51.73712,-0.33940
AL12NU,51.73513,-0.34192
AL12PB,51.73828,-0.34381
AL12QA,51.73870,-0.34949
AL13RQ,51.75286,-0.32949
AL13RR,51.75436,-0.33380
AL13SW,51.75589,-0.33213
AL14AP,51.76097,-0.32847
AL14LW,51.75196,-0.31450
AL14LX,51.75279,-0.31231
AL14PR,51.75546,-0.31621
AL15AR,51.73883,-0.31104
AL15EG,51.75018,-0.32129
AL15PG,51.74696,-0.31042
AL15QJ,51.74417,-0.31391
AL15QP,51.74402,-0.30825
AL21JG,51.72598,-0.29553
AL21NL,51.71959,-0.30081
AL21PH,51.72188,-0.30098
AL22HU,51.72024,-0.34525
AL22LX,51.71975,-0.34102
AL23HD,51.73157,-0.35407
AL23XA,51.70592,-0.37678
AL34HZ,51.74561,-0.35920
AL34SJ,51.75323,-0.35577
AL35AY,51.76374,-0.33219
AL35HP,51.76437,-0.32727
AL35JB,51.75510,-0.34370
AL35NL,51.75505,-0.33870
AL35RL,51.76434,-0.33747
AL35RP,51.76504,-0.33990
AL36DB,51.77022,-0.33195
AL36DR,51.77319,-0.34372
AL36EL,51.77098,-0.34101
AL37ET,51.80384,-0.40413
AL37EX,51.80093,-0.40403
AL38DL,51.81587,-0.43719
AL38PT,51.83791,-0.46526
AL40NP,51.74048,-0.26170
AL40TT,51.74748,-0.28881
AL40TZ,51.74854,-0.29364
AL40XA,51.75616,-0.30096
AL40XB,51.75514,-0.29921
AL48AN,51.80990,-0.29846
AL48TP,51.80742,-0.28821
AL49EB,51.78063,-0.29586
AL49NT,51.77025,-0.31144
AL49NX,51.77076,-0.30783
AL49RS,51.76723,-0.30214
AL49RW,51.76647,-0.30488
AL51PF,51.81136,-0.35114
AL51QB,51.80833,-0.33767
AL51QD,51.80802,-0.33671
AL52TP,51.81660,-0.35861
AL53AD,51.81986,-0.37165
AL53AE,51.82022,-0.37269
AL53EF,51.82664,-0.38139
AL54EL,51.81627,-0.35325
AL54LE,51.82998,-0.35404
AL54QP,51.82267,-0.34596
AL54QW,51.82358,-0.34790
AL54TD,51.82205,-0.35363
AL55BQ,51.82621,-0.33616
AL55HL,51.82752,-0.33698
AL55PU,51.81610,-0.34039
AL55SD,51.81345,-0.33667
AL60BX,51.81840,-0.18910
AL60JU,51.81508,-0.15588
AL60PX,51.84136,-0.19747
AL69DJ,51.82658,-0.21639
AL69JF,51.82645,-0.21422
AL71NZ,51.81397,-0.18586
AL71PG,51.81060,-0.18270
AL71QY,51.80248,-0.18189
AL72AF,51.80217,-0.17906
AL72AZ,51.79887,-0.17305
AL72HB,51.80301,-0.17018
AL73JP,51.79508,-0.18592
AL73RP,51.79412,-0.19573
AL73TF,51.79202,-0.20182
AL73XW,51.79578,-0.19973
AL74FL,51.78750,-0.20014
AL74RU,51.78437,-0.17743
AL74RZ,51.78367,-0.18143
AL86JZ,51.79751,-0.21835
AL86YN,51.79290,-0.22396
AL86YR,51.79036,-0.21962
AL87AG,51.81599,-0.19938
AL87LW,51.82196,-0.20894
AL87NL,51.81987,-0.21136
AL87RF,51.81745,-0.20297
AL87SD,51.80995,-0.20916
AL87TR,51.79599,-0.23316
AL95DR,51.77187,-0.21287
AL96HD,51.76161,-0.15337
AL97BN,51.72743,-0.18365
AL97NE,51.73556,-0.22108
AL97QY,51.72435,-0.20156
B100AX,52.46730,-1.86453
B100EG,52.46528,-1.85761
B100HJ,52.46331,-1.84520
B100HT,52.46555,-1.84599
B100NJ,52.47224,-1.86982
B109BT,52.47192,-1.83355
B109DP,52.46652,-1.84521
B109EN,52.47064,-1.85397
B109HH,52.47146,-1.83051
B109NY,52.47340,-1.84994
B109RX,52.47292,-1.85502
B111ED,52.46281,-1.86677
B111EH,52.46375,-1.86703
B111LF,52.46383,-1.87421
B111NS,52.46001,-1.86796
B111QT,52.46074,-1.87355
B112QG,52.45847,-1.86060
B113EY,52.44907,-1.84737
B113JW,52.45102,-1.86367
B113ND,52.45319,-1.85778
B113PJ,52.44650,-1.83670
B114EA,52.44950,-1.86456
B114LX,52.45042,-1.86603
B114SF,52.45556,-1.86344
B120EJ,52.46951,-1.88007
B120ER,52.47042,-1.87961
B120TP,52.46807,-1.88443
B120YH,52.46553,-1.88709
B120YN,52.46791,-1.89275
B128BL,52.45087,-1.87482
B128EH,52.45686,-1.87473
B128NX,52.45630,-1.87759
B129ED,52.46388,-1.89166
B129NX,52.45658,-1.89522
B129QS,52.45565,-1.88925
B129SR,52.46023,-1.88990
B12PJ,52.48106,-1.91667
B130ES,52.42561,-1.86865
B130EU,52.42197,-1.85995
B130QP,52.42374,-1.88174
B130RW,52.42703,-1.88226
B130SF,52.42788,-1.88732
B130TW,52.42967,-1.87416
B138BB,52.45157,-1.88749
B138DW,52.45064,-1.89390
B138EY,52.44490,-1.88967
B138QB,52.44134,-1.89407
B138QG,52.44211,-1.90187
B138QP,52.43814,-1.90937
B139DN,52.44768,-1.88054
B139EH,52.44389,-1.88397
B139NY,52.44397,-1.85947
B139QE,52.43785,-1.86256
B139UU,52.44135,-1.86138
B13AA,52.48416,-1.91437
B144BH,52.41310,-1.87130
B144ER,52.41565,-1.86231
B144HN,52.41367,-1.86301
B144LY,52.41097,-1.87301
B144RB,52.41255,-1.88125
B144TG,52.40241,-1.87911
B145AL,52.41522,-1.89013
B145PD,52.40594,-1.88959
B145QP,52.40678,-1.90724
B145RY,52.40506,-1.90134
B146AJ,52.42703,-1.89992
B146ET,52.41900,-1.89743
B146RP,52.42117,-1.91457
B147AJ,52.43790,-1.88991
B147BB,52.43787,-1.89244
B147EG,52.43369,-1.89024
B147LP,52.43226,-1.89120
B147QJ,52.43109,-1.90228
B152AF,52.46937,-1.90667
B152AT,52.47134,-1.90319
B152AY,52.47153,-1.90210
B152EF,52.47165,-1.90746
B152HU,52.46713,-1.90628
B153JL,52.46185,-1.93823
B153JU,52.46365,-1.94416
B160EF,52.48413,-1.93465
B160HL,52.48448,-1.94393
B168HY,52.47345,-1.92830
B168RN,52.47777,-1.92235
B169ER,52.47699,-1.92968
B169GD,52.47696,-1.95557
B169SL,52.47556,-1.94104
B170BE,52.45428,-1.95860
B170DN,52.45687,-1.95305
B178BJ,52.47249,-1.96646
B178LE,52.47626,-1.95682
B178QB,52.46875,-1.96321
B178TR,52.46717,-1.97532
B179LU,52.45864,-1.95326
B179TS,52.45917,-1.96664
B184AH,52.48842,-1.94097
B184LP,52.49429,-1.94153
B184LX,52.49726,-1.94226
B185TD,52.49786,-1.92924
B186PU,52.48939,-1.91956
B187QW,52.48625,-1.93163
B191HJ,52.50535,-1.91068
B191PH,52.49761,-1.91395
B191RA,52.49926,-1.90969
B192EP,52.50059,-1.90029
B192LF,52.49569,-1.90740
B192NS,52.49697,-1.89941
B192QH,52.49461,-1.89752
B193QY,52.49036,-1.90320
B193XD,52.49247,-1.90111
B193XJ,52.49144,-1.89995
B201HL,52.52922,-1.94216
B201ND,52.52139,-1.93785
B202BL,52.50419,-1.92000
B202HL,52.51405,-1.92902
B202LB,52.52066,-1.92170
B202NY,52.51695,-1.92193
B202RW,52.51118,-1.91940
B203AA,52.51184,-1.89972
B203AE,52.50952,-1.90150
B203DP,52.51303,-1.89557
B203LP,52.51256,-1.90679
B203PN,52.51007,-1.90919
B203RT,52.50965,-1.91395
B210DP,52.50479,-1.95645
B210HN,52.50523,-1.94764
B210RE,52.50052,-1.93822
B210UX,52.50052,-1.92483
B218AH,52.50694,-1.94393
B218ED,52.51458,-1.94464
B218HH,52.51605,-1.95152
B218NH,52.50854,-1.94946
B219AR,52.50184,-1.92375
B219ET,52.50475,-1.93335
B219HB,52.50565,-1.93345
B219NT,52.50993,-1.93547
