wardCode,ladCode,wardName,population,source
E05009317,E09000030,Bethnal Green,21090,Nomis NM_2021_1 TS001 2021 Census
E05009318,E09000030,Blackwall & Cubitt Town,21426,Nomis NM_2021_1 TS001 2021 Census
E05009319,E09000030,Bow East,19526,Nomis NM_2021_1 TS001 2021 Census
E05009320,E09000030,Bow West,13711,Nomis NM_2021_1 TS001 2021 Census
E05009321,E09000030,Bromley North,11702,Nomis NM_2021_1 TS001 2021 Census
E05009322,E09000030,Bromley South,13964,Nomis NM_2021_1 TS001 2021 Census
E05009323,E09000030,Canary Wharf,17976,Nomis NM_2021_1 TS001 2021 Census
E05009324,E09000030,Island Gardens,15307,Nomis NM_2021_1 TS001 2021 Census
E05009325,E09000030,Lansbury,21707,Nomis NM_2021_1 TS001 2021 Census
E05009326,E09000030,Limehouse,6555,Nomis NM_2021_1 TS001 2021 Census
E05009327,E09000030,Mile End (Tower Hamlets),21652,Nomis NM_2021_1 TS001 2021 Census
E05009328,E09000030,Poplar (Tower Hamlets),8069,Nomis NM_2021_1 TS001 2021 Census
E05009329,E09000030,St Dunstan's,14747,Nomis NM_2021_1 TS001 2021 Census
E05009330,E09000030,St Katharine's & Wapping,11961,Nomis NM_2021_1 TS001 2021 Census
E05009331,E09000030,St Peter's (Tower Hamlets),19779,Nomis NM_2021_1 TS001 2021 Census
E05009332,E09000030,Shadwell,13278,Nomis NM_2021_1 TS001 2021 Census
E05009333,E09000030,Spitalfields & Banglatown,13340,Nomis NM_2021_1 TS001 2021 Census
E05009334,E09000030,Stepney Green,12343,Nomis NM_2021_1 TS001 2021 Census
E05009335,E09000030,Weavers,13339,Nomis NM_2021_1 TS001 2021 Census
E05009336,E09000030,Whitechapel,18841,Nomis NM_2021_1 TS001 2021 Census
E05009367,E09000012,Brownswood,9013,Nomis NM_2021_1 TS001 2021 Census
E05009368,E09000012,Cazenove,15334,Nomis NM_2021_1 TS001 2021 Census
E05009369,E09000012,Clissold,12579,Nomis NM_2021_1 TS001 2021 Census
E05009370,E09000012,Dalston,8880,Nomis NM_2021_1 TS001 2021 Census
E05009371,E09000012,De Beauvoir,9195,Nomis NM_2021_1 TS001 2021 Census
E05009372,E09000012,Hackney Central,12719,Nomis NM_2021_1 TS001 2021 Census
E05009373,E09000012,Hackney Downs,12999,Nomis NM_2021_1 TS001 2021 Census
E05009374,E09000012,Hackney Wick,12306,Nomis NM_2021_1 TS001 2021 Census
E05009375,E09000012,Haggerston,14409,Nomis NM_2021_1 TS001 2021 Census
E05009376,E09000012,Homerton,13884,Nomis NM_2021_1 TS001 2021 Census
E05009377,E09000012,Hoxton East & Shoreditch,11768,Nomis NM_2021_1 TS001 2021 Census
E05009378,E09000012,Hoxton West,13752,Nomis NM_2021_1 TS001 2021 Census
E05009379,E09000012,King's Park,13061,Nomis NM_2021_1 TS001 2021 Census
E05009380,E09000012,Lea Bridge (Hackney),14124,Nomis NM_2021_1 TS001 2021 Census
E05009381,E09000012,London Fields,12682,Nomis NM_2021_1 TS001 2021 Census
E05009382,E09000012,Shacklewell,9125,Nomis NM_2021_1 TS001 2021 Census
E05009383,E09000012,Springfield,15319,Nomis NM_2021_1 TS001 2021 Census
E05009384,E09000012,Stamford Hill West,10345,Nomis NM_2021_1 TS001 2021 Census
E05009385,E09000012,Stoke Newington,13382,Nomis NM_2021_1 TS001 2021 Census
E05009386,E09000012,Victoria (Hackney),12156,Nomis NM_2021_1 TS001 2021 Census
E05009387,E09000012,Woodberry Down,12113,Nomis NM_2021_1 TS001 2021 Census
E05011095,E09000028,Borough & Bankside,9013,Nomis NM_2021_1 TS001 2021 Census
E05011096,E09000028,Camberwell Green,15509,Nomis NM_2021_1 TS001 2021 Census
E05011097,E09000028,Champion Hill,9219,Nomis NM_2021_1 TS001 2021 Census
E05011098,E09000028,Chaucer,14732,Nomis NM_2021_1 TS001 2021 Census
E05011099,E09000028,Dulwich Hill,9591,Nomis NM_2021_1 TS001 2021 Census
E05011100,E09000028,Dulwich Village,10255,Nomis NM_2021_1 TS001 2021 Census
E05011101,E09000028,Dulwich Wood,10588,Nomis NM_2021_1 TS001 2021 Census
E05011102,E09000028,Faraday,12465,Nomis NM_2021_1 TS001 2021 Census
E05011103,E09000028,Goose Green,13612,Nomis NM_2021_1 TS001 2021 Census
E05011104,E09000028,London Bridge & West Bermondsey,15097,Nomis NM_2021_1 TS001 2021 Census
E05011105,E09000028,Newington (Southwark),13442,Nomis NM_2021_1 TS001 2021 Census
E05011106,E09000028,North Bermondsey,15282,Nomis NM_2021_1 TS001 2021 Census
E05011107,E09000028,North Walworth,15844,Nomis NM_2021_1 TS001 2021 Census
E05011108,E09000028,Nunhead & Queen's Road,15555,Nomis NM_2021_1 TS001 2021 Census
E05011109,E09000028,Old Kent Road,19037,Nomis NM_2021_1 TS001 2021 Census
E05011110,E09000028,Peckham,14787,Nomis NM_2021_1 TS001 2021 Census
E05011111,E09000028,Peckham Rye,10158,Nomis NM_2021_1 TS001 2021 Census
E05011112,E09000028,Rotherhithe,15626,Nomis NM_2021_1 TS001 2021 Census
E05011113,E09000028,Rye Lane,14472,Nomis NM_2021_1 TS001 2021 Census
E05011114,E09000028,St George's (Southwark),8456,Nomis NM_2021_1 TS001 2021 Census
E05011115,E09000028,St Giles,15945,Nomis NM_2021_1 TS001 2021 Census
E05011116,E09000028,South Bermondsey,15945,Nomis NM_2021_1 TS001 2021 Census
E05011117,E09000028,Surrey Docks,13008,Nomis NM_2021_1 TS001 2021 Census
E05011462,E09000008,Addiscombe East,11464,Nomis NM_2021_1 TS001 2021 Census
E05011463,E09000008,Addiscombe West,16208,Nomis NM_2021_1 TS001 2021 Census
E05011464,E09000008,Bensham Manor,16938,Nomis NM_2021_1 TS001 2021 Census
E05011465,E09000008,Broad Green,20222,Nomis NM_2021_1 TS001 2021 Census
E05011466,E09000008,Coulsdon Town,15419,Nomis NM_2021_1 TS001 2021 Census
E05011467,E09000008,Crystal Palace & Upper Norwood,16352,Nomis NM_2021_1 TS001 2021 Census
E05011468,E09000008,Fairfield (Croydon),15345,Nomis NM_2021_1 TS001 2021 Census
E05011469,E09000008,Kenley,10985,Nomis NM_2021_1 TS001 2021 Census
E05011470,E09000008,New Addington North,10936,Nomis NM_2021_1 TS001 2021 Census
E05011471,E09000008,New Addington South,11328,Nomis NM_2021_1 TS001 2021 Census
E05011472,E09000008,Norbury & Pollards Hill,12145,Nomis NM_2021_1 TS001 2021 Census
E05011473,E09000008,Norbury Park,10827,Nomis NM_2021_1 TS001 2021 Census
E05011474,E09000008,Old Coulsdon,10109,Nomis NM_2021_1 TS001 2021 Census
E05011475,E09000008,Park Hill & Whitgift,5787,Nomis NM_2021_1 TS001 2021 Census
E05011476,E09000008,Purley & Woodcote,15184,Nomis NM_2021_1 TS001 2021 Census
E05011477,E09000008,Purley Oaks & Riddlesdown,9715,Nomis NM_2021_1 TS001 2021 Census
E05011478,E09000008,Sanderstead,15773,Nomis NM_2021_1 TS001 2021 Census
E05011479,E09000008,Selhurst,13184,Nomis NM_2021_1 TS001 2021 Census
E05011480,E09000008,Selsdon & Addington Village,9928,Nomis NM_2021_1 TS001 2021 Census
E05011481,E09000008,Selsdon Vale & Forestdale,10012,Nomis NM_2021_1 TS001 2021 Census
E05011482,E09000008,Shirley North,15402,Nomis NM_2021_1 TS001 2021 Census
E05011483,E09000008,Shirley South (Croydon),10623,Nomis NM_2021_1 TS001 2021 Census
E05011484,E09000008,South Croydon,18064,Nomis NM_2021_1 TS001 2021 Census
